XE,YE,ZE,Num_Solutions
-0.3666304524949918,-0.2308976149788211,0.771790128337013,4
-0.3702792930474989,-0.23271267210652466,0.6669428824938013,4
-0.35358508847335995,-0.2244084081718308,0.5636864242705935,4
-0.31733447058885234,-0.20637612053741308,0.46688620352537885,2
-0.2632355704559277,-0.17946549156522543,0.3811034518593801,2
-0.1938375311548194,-0.14494455153796534,0.3103802571389953,4
-0.1124103920251723,-0.10443992900404002,0.25804910009840754,4
-0.02279100423670624,-0.05986020395298956,0.22657582766838352,2
0.37738910199890807,0.139202962479172,0.3224332887749087,2
0.44557849344644557,0.17312268004413509,0.3946081672645114,1
0.4982167480223068,0.19930673434383542,0.481517101709127,1
0.5328235483433669,0.2165213313331714,0.5790649384493352,4
0.5477682201195629,0.22395531827730847,0.6826552181780697,2
0.5423465696140345,0.22125840531211574,0.7874067613500696,2
0.5168140652898306,0.20855767112138013,0.8883836696242493,2
0.47237380012220875,0.1864515749824002,0.9808279056586658,4
0.4111198017930152,0.15598175733269304,1.0603834920856545,2
0.33593836199383376,0.11858395761662585,1.1233017653993769,3
0.2503720342064393,0.07602036216567552,1.1666180131815804,4
0.15845270839244363,0.030296569883831538,1.1882911715099975,3
0.06451162812173022,-0.016432911680491734,1.1873,2
-0.027024697857217672,-0.06196618684586842,1.1636912027063808,2
-0.11184307294731752,-0.10415772524064588,1.1185772274257828,2
-0.18594685075823064,-0.14101945930930684,1.054083847096764,4
-0.24584425729895698,-0.17081446216247548,0.9732499932647467,3
-0.28871292355585576,-0.1921387916652457,0.8798845614643572,4
-0.312532875672174,-0.20398764426599197,0.7783869358572357,4
-0.31618171622468105,-0.20580270139369553,0.673539690014024,2
-0.2994875116505421,-0.1974984374590017,0.5702832317908166,4
-0.26323689376603443,-0.17946614982458395,0.47348301104560164,2
-0.20913799363310975,-0.15255552085239624,0.3877002593796029,2
-0.13973995433200137,-0.11803458082513614,0.3169770646592181,3
-0.05831281520235462,-0.07752995829121095,0.26464590761863055,2
0.3509592382903731,0.12605585127546365,0.2617965428714626,4
0.43148667882172587,0.16611293319200113,0.3158364812546855,2
0.49967607026926353,0.20003265075696428,0.3880113597442884,2
0.5523143248451247,0.22621670505666455,0.4749202941889038,2
0.5869211251661848,0.24343130204600058,0.5724681309291121,4
0.6018657969423808,0.25086528899013766,0.6760584106578464,4
0.5964441464368524,0.24816837602494493,0.7808099538298465,4
0.5709116421126486,0.23546764183420932,0.8817868621040261,4
0.5264713769450268,0.21336154569522942,0.9742310981384428,4
0.46521737861583323,0.18289172804552228,1.0537866845654313,4
0.3900359388166519,0.14549392832945515,1.116704957879154,4
0.3044696110292572,0.1029303328785047,1.1600212056613575,4
0.21255028521526176,0.05720654059666082,1.1816943639897743,4
0.11860920494454816,0.010477059032337444,1.180703192479777,0
0.027072878965600455,-0.03505621613303915,1.1570943951861579,4
-0.057745496124499585,-0.07724775452781671,1.1119804199055596,4
-0.13184927393541251,-0.1141094885964776,1.047487039576541,4
-0.19174668047613896,-0.1439044914496462,0.966653185744524,4
-0.23461534673303786,-0.1652288209524165,0.8732877539441343,4
-0.2584352988493561,-0.17707767355316278,0.7717901283370128,4
-0.26208413940186315,-0.17889273068086636,0.6669428824938014,4
-0.2453899348277242,-0.1705884667461725,0.5636864242705937,4
-0.20913931694321652,-0.15255617911175476,0.46688620352537863,2
-0.1550404168102918,-0.12564555013956705,0.3811034518593799,4
-0.08564237750918374,-0.09112461011230713,0.3103802571389953,2
0.3134367020956724,0.10739086830630833,0.20895832875807696,4
0.40250773438740095,0.15169782272281157,0.24231696223549987,4
0.4830351749187538,0.19175490463934908,0.29635690061872294,2
0.5512245663662914,0.22567462220431217,0.3685317791083257,2
0.6038628209421526,0.2518586765040125,0.45544071355294125,4
0.6384696212632126,0.2690732734933485,0.5529885502931493,4
0.6534142930394087,0.2765072604374856,0.6565788300218839,4
0.6479926425338802,0.27381034747229277,0.7613303731938839,4
0.6224601382096764,0.2611096132815572,0.8623072814680635,4
0.5780198730420545,0.23900351714257728,0.9547515175024801,4
0.5167658747128611,0.20853369949287018,1.0343071039294687,4
0.4415844349136795,0.17113589977680296,1.0972253772431912,4
0.356018107126285,0.12857230432585262,1.1405416250253948,4
0.26409878131228937,0.08284851204400862,1.1622147833538117,4
0.17015770104157596,0.03611903047968535,1.1612236118438144,4
0.07862137506262806,-0.009414244685691337,1.137614814550195,4
-0.006197000027471783,-0.0516057830804688,1.092500839269597,4
-0.08030077783838471,-0.08846751714912969,1.0280074589405783,4
-0.14019818437911125,-0.11826252000229841,0.9471736051085611,4
-0.18306685063601014,-0.13958684950506867,0.8538081733081713,4
-0.20688680275232824,-0.1514357021058149,0.7523105477010502,4
-0.21053564330483532,-0.15325075923351844,0.6474633018578385,4
-0.19384143873069637,-0.14494649529882458,0.5442068436346307,2
-0.15759082084618853,-0.12691420766440678,0.4474066228894157,2
-0.1034919207132641,-0.10000357869221922,0.3616238712234173,2
0.26658955733585615,0.0840875085718185,0.16640838592202534,4
0.36000714956184543,0.1305565894161949,0.1775138538923037,4
0.44907818185357407,0.17486354383269823,0.21087248736972666,2
0.5296056223849268,0.21492062574923568,0.2649124257529496,2
0.5977950138324645,0.24884034331419883,0.3370873042425525,2
0.6504332684083256,0.2750243976138991,0.4239962386871679,4
0.6850400687293857,0.2922389946032351,0.521544075427376,4
0.6999847405055818,0.2996729815473722,0.6251343551561106,4
0.6945630900000533,0.29697606858217945,0.7298858983281106,4
0.6690305856758495,0.28427533439144387,0.8308628066022903,4
0.6245903205082277,0.26216923825246397,0.9233070426367068,4
0.5633363221790342,0.23169942060275686,1.0028626290636953,4
0.48815488237985283,0.1943016208866897,1.0657809023774178,4
0.4025885545924581,0.1517380254357393,1.1090971501596216,4
0.3106692287784627,0.1060142331538954,1.1307703084880385,4
0.2167281485077491,0.05928475158957201,1.129779136978041,4
0.1251918225288014,0.013751476424195429,1.106170339684422,0
0.0403734474387015,-0.028440061970582062,1.0610563644038238,4
-0.03373033037221157,-0.06530179603924302,0.9965629840748051,4
-0.09362773691293808,-0.09509679889241174,0.9157291302427878,4
-0.1364964031698368,-0.11642112839518191,0.8223636984423985,4
-0.16031635528615507,-0.1282699809959282,0.720866072835277,4
-0.1639651958386622,-0.13008503812363179,0.6160188269920652,4
-0.14727099126452325,-0.12178077418893794,0.5127623687688575,2
-0.11102037338001558,-0.10374848655452021,0.41596214802364284,2
0.21262524398844254,0.05724382763444388,0.1361516699553501,4
0.3059875541849959,0.10368540932117891,0.12448068217118458,4
0.3994051464109853,0.15015449016555543,0.13558615014146302,4
0.48847617870271376,0.19446144458205866,0.16894478361888587,2
0.5690036192340666,0.23451852649859617,0.22298472200210898,2
0.6371930106816042,0.26843824406355926,0.29515960049171175,2
0.6898312652574654,0.29462229836325954,0.3820685349363273,4
0.7244380655785254,0.31183689535259557,0.47961637167653537,4
0.7393827373547215,0.31927088229673267,0.58320665140527,4
0.733961086849193,0.31657396933153986,0.6879581945772699,4
0.7084285825249892,0.3038732351408043,0.7889351028514495,4
0.6639883173573673,0.2817671390018243,0.8813793388858662,4
0.602734319028174,0.25129732135211724,0.9609349253128546,4
0.5275528792289923,0.21389952163605006,1.0238531986265773,4
0.4419865514415978,0.1713359261850997,1.0671694464087809,4
0.35006722562760223,0.1256121339032557,1.0888426047371977,4
0.2561261453568888,0.07888265233893244,1.0878514332272005,4
0.16458981937794112,0.03334937717355585,1.064242635933581,4
0.07977144428784108,-0.008842161221221707,1.019128660652983,4
0.005667666476927985,-0.04570389528988268,0.9546352803239643,4
-0.05422974006379824,-0.07549889814305123,0.8738014264919473,4
-0.09709840632069713,-0.09682322764582153,0.7804359946915576,4
-0.1209183584370154,-0.10867208024656781,0.678938369084436,4
-0.12456719898952243,-0.11048713737427136,0.5740911232412244,2
-0.10787299441538348,-0.10218287343957753,0.47083466501801696,2
0.15408656339710206,0.02812470118188537,0.11961387893966718,4
0.24299435449271944,0.07235045388724977,0.0857163729723649,4
0.33635666468927294,0.11879203557398489,0.07404538518819931,4
0.42977425691526217,0.1652611164183613,0.08515085315847776,4
0.5188452892069909,0.20956807083486464,0.11850948663590077,2
0.5993727297383435,0.24962515275140204,0.17254942501912374,2
